Name,Link,Douyu,Description,Tags
"Project Free Our Knowledge","https://youtu.be/_JTPtyPrMLM","https://v.douyu.com/show/qJgOWxm11nXvkVzL","An introduction to the Free Our Knowledge project presented during OHBM 2020","Open Access,Open Publishing"
"Preregistration","https://www.pnas.org/content/115/11/2600",,"Paper explaining impacts of pre-registration and challenges in practice","Open Access,Open Publishing,Preregistration"
"Preregistration Template","https://youtu.be/Ov8Go6OecUA","https://v.douyu.com/show/Kp1QM8RBjAwvk4bj","Emergent session on a community-built template for pre-registration of fMRI studies","Open Access,Open Publishing,Preregistration"
"The benefits of BIDS","https://youtu.be/K9hVAr5fvJg","https://v.douyu.com/show/Kg1VWRBEE0NWGbNA","Introduction to the organizational principles of BIDS with examples from the fMRI literature","Open Data,BIDS"
"A hitchhiker's guide to working with large, open-source neuroimaging datasets","https://pubmed.ncbi.nlm.nih.gov/33288916/",,"Paper covering guidelines and practical advices on how to deal with large-scale datasets","Open Data"
"Introduction to git and github","https://youtu.be/zh_WFv0uk7w","https://v.douyu.com/show/yVmjvB5OO2QWqkNb","Introduction from BrainHack 2021 on how to get into version control by leveraging Git and Github","Open Code,Version Control,Git"
"Introduction to DataLad","https://youtu.be/QsAqnP7TwyY","https://v.douyu.com/show/aRbBv3JllGDW6PYV","Datalad is a versatile data management and data publication multitool. In this session, you can learn the basic concepts and commands for version control and reproducible data analysis.","Open Code,Version Control,DataLad"
"Containers for science","https://youtu.be/pc3YOZUG3lQ","https://v.douyu.com/show/mPyq7oVXXODv1gLY","This session covers how containers can be useful for running the same software on different platforms and sharing analysis pipelines with other researchers.","Open Code,Version Control"
"#Matlab / #Octave: divide and conquer m-scripts","https://youtu.be/AWfrlKTLkqw","https://v.douyu.com/show/a2JEMJgoOB0WNxml","This session transforms a spaghetti script written in MATLAB and turn it into an understandable and reusable code living happily in a powerful GitHub repository. ","Open Code"
"How to write good code","https://youtu.be/gfPP2pQ8Rms","https://v.douyu.com/show/brN0MmzX5zbWpyxA","A tutorial on how to write cleaner code by adding tests to your codebase","Open Code,Code Testing"
"NeuroImaging PREProcessing toolS (NiPreps) includes fMRIPrep, dMRIPrep, sMRIPrep, and more","https://www.nipreps.org/",,"NiPreps is a series of libraries to facilitate the transformation of scanner data into consumable data for analysis (taken from documentation)","Open Code,Python"
"Diffusion MRI preprocessing (qsiprep)","https://qsiprep.readthedocs.io/en/latest/",,"qsiprep configures pipelines for processing diffusion-weighted MRI (dMRI) data","Open Code,Python"
"An interface to facilitate interaction between neuroimaging software within a single workflow, Nipype","https://nipype.readthedocs.io/en/latest/",,"Nipype is a Python project that provides a uniform interface to existing neuroimaging software and facilitates interaction between these packages within a single workflow (taken from documentation)","Open Code,nipype,Python"
"TE Dependent ANAlysis (tedana)","https://tedana.readthedocs.io/en/stable/",,"TE-dependent analysis (tedana)is a Python library for denoising multi-echo functional magnetic resonance imaging (fMRI) data. (taken from documentation)","Open Code,tedana,Python"
"Reproducible Workflows (The Turing Way)","https://youtu.be/tk2eZSrM8oA","https://v.douyu.com/show/aRbBv3JlXYyW6PYV","A tutorial on computational reproducibility given during BrainHack 2020","Reproducibility"
"Transparent MRI workflows: From scanner to publication","https://youtu.be/dSOQgyuL51U","https://v.douyu.com/show/0zZVvPAEwKm7O4E2","Tutorial from OHBM 2020 on building reproducible workflows around MRI data","Reproducibility"
"Machine Learning Reproduciblity Checklist","https://www.cs.mcgill.ca/~jpineau/ReproducibilityChecklist.pdf",,"A clear checklist on how to make your machine learning experiments reproducible","Reproducibility"
"Data visualization","https://youtu.be/HwpYh39lPHs","https://v.douyu.com/show/a2JEMJgoOo2WNxml","A tutorial on reproducible data visualization given during BrainHack 2021","Reproducibility"
"How to organize a figure!","https://youtu.be/W91kvzU0Cec","https://v.douyu.com/show/aRbBv3JlXloW6PYV","This session discusses different ways to organise a figure, and techniques that help organising. Additionally, it looks at approaches from visual practices based on design thinking.","Reproducibility"
"Threats to research integrity","https://youtu.be/x_MsPvgetxw","https://v.douyu.com/show/yVY8WwwE54oWLOz9","This video discusses several threats to research integrity: fraud, plagiarism, conflicts of interest and personal values. All these threats concern an abandonment of the basic scientific principles of openness, transparency, and critical and systematic empirical testing.","Research Integrity"
"Questionable research practices!","https://youtu.be/tufAPd1NITQ","https://v.douyu.com/show/NbwE7Z2zAzd7n5Zz","This video discusses a grey area of research integrity, referred to as questionable research practices (QRPs). Different types of QRPs are explained: harking, p-hacking, cherry-picking and selective omission.","Research Integrity"
"Dissemination problems","https://youtu.be/UzS2Q_hrNV8","https://v.douyu.com/show/EO0XvN8grgBMDrBd","This video discusses some important dissemination problems in scientific research. You learn about publication bias and the file drawer problem. These negative side-effects can be resolved by reforming the process for review and publication","Research Integrity"
"Towards Global Inclusivity in Open Science","https://youtu.be/RRwuOs0BA4I","https://v.douyu.com/show/Aox2765eXXPvVz8Z","Presentation on creating a global community with some interviews with Researchers connected to the Global South, describing some of the challenges they face around interacting with open science coming from the Global North.","Research Culture"
"Community Building","https://youtu.be/3H0zQ6odOd0","https://v.douyu.com/show/aRbBv3JlXqoW6PYV","Presentation on shaping research culture around credible and collaborative practices","Research Culture"
"ReproducibiliTea","https://reproducibilitea.org/about/",,"ReproducibiliTea is a journal club which focuses on helping early career researchers build a local community of ECRs interested in open and reproducible research","Research Culture"
"Chinese Open Science Network","https://open-sci.cn/",,"COSN is a network for promoting open science practices and awareness of reproducibility in the Chinese-speaking community","Research Culture"
"BrainHack Global","https://brainhack.org/",,"Brainhack convenes researchers from across the globe and a myriad of disciplines to work together on innovative projects related to neuroscience.","Research Culture"
